loss,accuracy,precision,recall,f1_score
0.10026925057172775,0.41355058550834656,0.5156727961193899,0.5149520439181862,0.5143919574393084
0.08509928733110428,0.3921247124671936,0.5351589198707823,0.5024686121124822,0.39787525449977146
0.0815173014998436,0.3567202091217041,0.534406200865457,0.5021842118218874,0.39619110116873807
0.0801403671503067,0.3794289231300354,0.5476374154987114,0.5015915554761257,0.38954389450770227
0.07997939735651016,0.38299259543418884,0.5485549474686804,0.5016329986984623,0.38964927840336916
0.0797436386346817,0.3619399070739746,0.5104360031452865,0.5024296494512445,0.4259020121902455
0.0791902095079422,0.3751859664916992,0.5426387945454254,0.5021480815490605,0.39364927336416106
0.07919993251562119,0.3952479660511017,0.5115896749288611,0.505649685236544,0.46548960084434277
0.07904014736413956,0.37971365451812744,0.5189850822539451,0.5166741742317945,0.5130391054676917
0.0788496658205986,0.39276233315467834,0.46499935461340347,0.47904827922942145,0.44662262359802235
0.07848451286554337,0.39268165826797485,0.45654031393975614,0.47070101650347657,0.44552751119539724
0.078640878200531,0.39069777727127075,0.5131803212149503,0.5115921156706633,0.5077442850316123
